"","SECCION","distrito10","municipio10","distrito15","clave_mun15","municipio15","father10","dsi"
"1",749,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"2",750,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"3",751,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"4",752,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"5",753,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"6",754,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"7",755,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"8",756,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"9",757,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"10",758,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"11",759,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"12",763,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"13",764,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"14",765,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"15",766,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"16",778,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"17",779,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"18",780,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"19",781,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"20",782,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"21",783,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"22",809,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"23",810,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"24",811,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"25",812,1,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"26",813,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"27",814,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"28",816,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"29",817,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"30",1818,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"31",1819,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"32",1820,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"33",1821,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"34",1822,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"35",1823,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"36",1824,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"37",1825,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"38",1826,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"39",1827,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"40",1828,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"41",1829,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"42",1830,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"43",1831,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"44",1832,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"45",1833,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"46",1834,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"47",1835,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"48",1836,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"49",1837,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"50",1838,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"51",1839,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"52",1840,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"53",1841,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"54",1842,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"55",1843,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"56",1844,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"57",1845,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"58",1846,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"59",1847,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"60",1848,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"61",1849,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"62",1850,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"63",1851,2,"NUEVO LAREDO",1,27,"Nuevo Laredo",2,0.388
"64",1979,NA,NA,1,27,"Nuevo Laredo",2,0.388
"65",1980,NA,NA,1,27,"Nuevo Laredo",2,0.388
"66",1981,NA,NA,1,27,"Nuevo Laredo",2,0.388
"67",1982,NA,NA,1,27,"Nuevo Laredo",2,0.388
"68",1983,NA,NA,1,27,"Nuevo Laredo",2,0.388
"69",1984,NA,NA,1,27,"Nuevo Laredo",2,0.388
"70",1985,NA,NA,1,27,"Nuevo Laredo",2,0.388
"71",1986,NA,NA,1,27,"Nuevo Laredo",2,0.388
"72",1987,NA,NA,1,27,"Nuevo Laredo",2,0.388
"73",1988,NA,NA,1,27,"Nuevo Laredo",2,0.388
"74",1989,NA,NA,1,27,"Nuevo Laredo",2,0.388
"75",1990,NA,NA,1,27,"Nuevo Laredo",2,0.388
"76",1991,NA,NA,1,27,"Nuevo Laredo",2,0.388
"77",1992,NA,NA,1,27,"Nuevo Laredo",2,0.388
"78",1993,NA,NA,1,27,"Nuevo Laredo",2,0.388
"79",1994,NA,NA,1,27,"Nuevo Laredo",2,0.388
"80",1995,NA,NA,1,27,"Nuevo Laredo",2,0.388
"81",1996,NA,NA,1,27,"Nuevo Laredo",2,0.388
"82",760,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"83",761,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"84",762,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"85",767,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"86",768,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"87",769,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"88",770,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"89",771,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"90",772,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"91",775,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"92",776,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"93",777,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"94",784,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"95",785,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"96",786,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"97",787,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
"98",788,1,"NUEVO LAREDO",2,27,"Nuevo Laredo",3,0.653
